Client,p2
Client 1,0.1375891032756681
Client 2,0.1741886630617192
Client 3,0.28530325531012024
Client 4,0.019090005114233533
Client 5,0.3205035098100568
Client 6,0.6695061398958568
Client 7,0.6549105850045421
Client 8,0.47466450843847785
Client 9,0.26207695341840975
Client 10,0.8137860700995209
Client 11,0.9638512330356586
Client 12,0.1779376802560333
Client 13,0.5228278225319731
Client 14,0.10004739429613452
Client 15,0.8092463730929591
Client 16,0.54046858836949
Client 17,0.6422521585494461
Client 18,0.6121076388383454
Client 19,0.10955031774430335
Client 20,0.7762112750331461
