Client,p1
Client 1,0.7222244087726665
Client 2,0.21404370005981133
Client 3,0.9376840230493507
Client 4,0.6945722751224014
Client 5,0.8182025120514684
Client 6,0.8101613160670028
Client 7,0.6866199726826363
Client 8,0.6818016751653219
Client 9,0.47558540294455465
Client 10,0.7416451358940732
Client 11,0.6998190772854593
Client 12,0.4626809005025142
Client 13,0.9175612369325014
Client 14,0.26440932162077235
Client 15,0.6459848039983765
Client 16,0.6470032144796558
Client 17,0.769756049465507
Client 18,0.011274611445717064
Client 19,0.9134149083916338
Client 20,0.4370738765739546
