Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.20175438596491227,0.10476190476190476,,0.5154639175257731,,0.023809523809523808,,0.008695652173913044,0.12698412698412698,,,,0.24822695035460993,,,0.006622516556291391,0.006896551724137931,,,0.012658227848101266
2,0.21929824561403508,0.09523809523809523,0.2468354430379747,0.4639175257731959,,0.023809523809523808,0.009174311926605505,0.017391304347826087,0.18518518518518517,,0.28205128205128205,0.3253012048192771,0.2553191489361702,0.13580246913580246,0.0,0.152317880794702,0.15172413793103448,0.06611570247933884,,0.006329113924050633
3,0.15789473684210525,0.01904761904761905,0.012658227848101266,0.4639175257731959,,0.0,0.027522935779816515,0.034782608695652174,0.18518518518518517,0.04918032786885246,0.038461538461538464,0.5903614457831325,0.2553191489361702,0.06790123456790123,0.011627906976744186,0.33112582781456956,0.2896551724137931,0.2396694214876033,0.43103448275862066,0.0
4,0.17543859649122806,0.2571428571428571,0.25949367088607594,0.41237113402061853,,0.047619047619047616,0.027522935779816515,0.13043478260869565,0.07407407407407407,0.06557377049180328,0.48717948717948717,0.5903614457831325,0.19148936170212766,0.24074074074074073,0.0872093023255814,0.33112582781456956,0.2896551724137931,0.049586776859504134,0.43103448275862066,0.05063291139240506
5,0.16666666666666666,0.2571428571428571,0.25949367088607594,0.23711340206185566,,0.0,0.027522935779816515,0.02608695652173913,0.18518518518518517,0.04918032786885246,0.48717948717948717,0.5903614457831325,0.1702127659574468,0.06790123456790123,0.011627906976744186,0.33112582781456956,0.2896551724137931,0.2231404958677686,0.4224137931034483,0.0
6,0.05263157894736842,0.45714285714285713,0.06329113924050633,0.23711340206185566,0.061068702290076333,0.1111111111111111,0.03669724770642202,0.4260869565217391,0.005291005291005291,0.01639344262295082,0.6025641025641025,0.04819277108433735,0.014184397163120567,0.30864197530864196,0.27325581395348836,0.07947019867549669,0.07586206896551724,0.12396694214876033,0.13793103448275862,0.21518987341772153
7,0.14912280701754385,0.0761904761904762,0.056962025316455694,0.23711340206185566,0.16793893129770993,0.007936507936507936,0.01834862385321101,0.4260869565217391,0.15873015873015872,0.06557377049180328,0.6025641025641025,0.5180722891566265,0.15602836879432624,0.12962962962962962,0.06395348837209303,0.2913907284768212,0.2689655172413793,0.24793388429752067,0.39655172413793105,0.21518987341772153
8,0.21929824561403508,0.24761904761904763,0.13291139240506328,0.05154639175257732,0.1984732824427481,0.18253968253968253,0.30275229357798167,0.28695652173913044,0.24338624338624337,0.16393442622950818,0.6025641025641025,0.5180722891566265,0.24113475177304963,0.12962962962962962,0.23255813953488372,0.07947019867549669,0.034482758620689655,0.24793388429752067,0.07758620689655173,0.43037974683544306
9,0.17543859649122806,0.24761904761904763,0.03164556962025317,0.26804123711340205,0.1984732824427481,0.05555555555555555,0.30275229357798167,0.0782608695652174,0.23809523809523808,0.04918032786885246,0.6025641025641025,0.5662650602409639,0.20567375886524822,0.09876543209876543,0.005813953488372093,0.31125827814569534,0.31724137931034485,0.33884297520661155,0.45689655172413796,0.43037974683544306
10,0.12280701754385964,0.42857142857142855,0.1962025316455696,0.28865979381443296,0.1984732824427481,0.2222222222222222,0.30275229357798167,0.3739130434782609,0.19576719576719576,0.16393442622950818,0.5128205128205128,0.1566265060240964,0.2127659574468085,0.3765432098765432,0.21511627906976744,0.31125827814569534,0.2206896551724138,0.30578512396694213,0.27586206896551724,0.43037974683544306
11,0.22807017543859648,0.42857142857142855,0.1962025316455696,0.20618556701030927,0.1984732824427481,0.2698412698412698,0.30275229357798167,0.25217391304347825,0.2328042328042328,0.6885245901639344,0.5128205128205128,0.1566265060240964,0.23404255319148937,0.16666666666666666,0.2441860465116279,0.2913907284768212,0.2206896551724138,0.30578512396694213,0.27586206896551724,0.27848101265822783
