Client,p1
Client 1,0.043573559559265895
Client 2,0.2074187199653632
Client 3,0.990955893822254
Client 4,0.09452141431475458
Client 5,0.7273220361964161
Client 6,0.9497242005815238
Client 7,0.9814086353530252
Client 8,0.23773257836487216
Client 9,0.37665816799777474
Client 10,0.06724106571223465
Client 11,0.17680682398637215
Client 12,0.16382290325531323
Client 13,0.4105443941748541
Client 14,0.7066834181069713
Client 15,0.5077881238635835
Client 16,0.30910965446396155
Client 17,0.9281303996776692
Client 18,0.1823090393247554
Client 19,0.13627662636434557
Client 20,0.10025366877147412
