Client,p1
Client 1,0.771130818930445
Client 2,0.4221805555937256
Client 3,0.4484264096495115
Client 4,0.582434895661148
Client 5,0.4877337485563207
Client 6,0.09333538381609763
Client 7,0.7159996379596901
Client 8,0.9472516768359522
Client 9,0.41630278932909504
Client 10,0.2577880856436242
Client 11,0.3295286008524172
Client 12,0.5098374175971012
Client 13,0.41253424468379085
Client 14,0.6278302302752677
Client 15,0.045665453856220006
Client 16,0.9831273994063685
Client 17,0.7525597086030773
Client 18,0.10749705846375812
Client 19,0.13770755822593306
Client 20,0.8644700238194021
