Client,p1
Client 1,0.5281868705242038
Client 2,0.19404662057134492
Client 3,0.4349088748373675
Client 4,0.8750743072971391
Client 5,0.5030171937752055
Client 6,0.7036086977295625
Client 7,0.09604969144310449
Client 8,0.6070032980301416
Client 9,0.9035895024339742
Client 10,0.8895825057774344
Client 11,0.543132613066368
Client 12,0.17118732436909878
Client 13,0.3253236903317176
Client 14,0.6795936162302598
Client 15,0.27395174175682224
Client 16,0.9005947608383521
Client 17,0.5523984803594919
Client 18,0.24496475173271381
Client 19,0.6438689822508937
Client 20,0.3229832001469881
