Client,p2
Client 1,0.9004067284448536
Client 2,0.8314724335577621
Client 3,0.06100420471000434
Client 4,0.3351073900604379
Client 5,0.7077922164498671
Client 6,0.3439593642956017
Client 7,0.23926011539457548
Client 8,0.836978120749171
Client 9,0.39995876127793106
Client 10,0.5446149098025349
Client 11,0.5852755323749674
Client 12,0.8186442254393763
Client 13,0.9203956647292192
Client 14,0.38076489269405867
Client 15,0.1410776249839819
Client 16,0.32403070496203246
Client 17,0.09092360195789295
Client 18,0.18347009272033077
Client 19,0.9833737213889924
Client 20,0.24972086284769635
