Client,p1
Client 1,0.5544127501793524
Client 2,0.5786501247912829
Client 3,0.4271461423784003
Client 4,0.3033055814259217
Client 5,0.5486528656135746
Client 6,0.003261798143322503
Client 7,0.10441690973557127
Client 8,0.6733367288318747
Client 9,0.4003843302233636
Client 10,0.21203227956785198
Client 11,0.8228752862099854
Client 12,0.268246730547093
Client 13,0.9174034459684831
Client 14,0.9838186343655111
Client 15,0.8592626880827787
Client 16,0.8644389100175245
Client 17,0.6776891985247145
Client 18,0.21263095625243544
Client 19,0.4653678538598578
Client 20,0.9252011722240956
