Client,p1
Client 1,0.5647161537415276
Client 2,0.9679767648909408
Client 3,0.88280902271721
Client 4,0.1114717975648799
Client 5,0.8046743789353223
Client 6,0.9994877022900612
Client 7,0.5273366123774501
Client 8,0.35286724514273415
Client 9,0.4500601390590764
Client 10,0.3650995125838392
Client 11,0.9810237855008093
Client 12,0.8631651007761395
Client 13,0.7550862762801107
Client 14,0.9869147687082268
Client 15,0.6349348526249123
Client 16,0.39743167200101515
Client 17,0.6633321380554824
Client 18,0.9862204637246198
Client 19,0.6643030723332807
Client 20,0.9680891117038732
