Client,p2
Client 1,0.24978130028701406
Client 2,0.020311584192860943
Client 3,0.948860998836683
Client 4,0.32049796404117936
Client 5,0.11772700050091622
Client 6,0.4441049089193948
Client 7,0.8362658982089058
Client 8,0.9178961231873786
Client 9,0.6439792269914211
Client 10,0.7553195189931005
Client 11,0.11784957350236924
Client 12,0.4468176955624549
Client 13,0.897729194140642
Client 14,0.933774169459765
Client 15,0.8673488934969
Client 16,0.227688457456374
Client 17,0.44197261004955957
Client 18,0.22837990841870293
Client 19,0.964438622440733
Client 20,0.40006133030939595
