Client,p1
Client 1,0.02510778253519541
Client 2,0.20336160084946908
Client 3,0.9253125391518524
Client 4,0.29601553445254947
Client 5,0.4928445683233249
Client 6,0.8238481452512524
Client 7,0.5656903000463623
Client 8,0.03322444802617297
Client 9,0.10434459558384068
Client 10,0.7681519032473957
Client 11,0.5451091244533008
Client 12,0.8652174175514212
Client 13,0.8967505096405926
Client 14,0.7452802017790725
Client 15,0.5753726520033908
Client 16,0.5950433444270182
Client 17,0.6591571844057494
Client 18,0.41276551052756627
Client 19,0.3436408350154725
Client 20,0.17699896384857983
